100
1,1
2,1
3,1
4,3
5,2
6,1
7,2
8,1
9,1
10,1
11,2
12,3
13,3
14,2
15,2
16,3
17,1
18,2
19,1
20,1
21,2
22,1
23,2
24,2
25,2
26,3
27,1
28,1
29,2
30,2
31,3
32,2
33,3
34,1
35,1
36,3
37,2
38,1
39,2
40,3
41,3
42,2
43,2
44,3
45,3
46,3
47,1
48,1
49,1
50,2
51,3
52,1
53,2
54,1
55,3
56,2
57,3
58,1
59,1
60,2
61,1
62,1
63,2
64,3
65,3
66,3
67,1
68,3
69,1
70,3
71,2
72,1
73,1
74,1
75,1
76,2
77,3
78,2
79,2
80,3
81,2
82,1
83,2
84,2
85,1
86,2
87,2
88,3
89,2
90,2
91,3
92,1
93,3
94,1
95,2
96,3
97,2
98,3
99,3
100,1
289
100,50,25
99,98,20
98,97,20
97,95,24
96,5,25
95,4,22
94,3,24
93,2,24
92,1,22
91,98,24
90,97,25
89,96,23
88,95,21
87,3,22
86,2,25
85,1,24
84,50,25
83,97,24
82,96,23
81,95,25
80,94,21
79,93,23
78,2,24
77,3,20
76,96,24
75,94,24
74,50,25
73,51,21
72,36,24
71,36,24
70,35,20
69,35,25
68,34,21
67,34,23
66,33,20
65,33,23
64,32,22
63,32,25
62,31,22
61,31,22
60,30,22
59,30,21
58,29,22
57,29,21
56,28,23
55,28,25
54,27,22
53,27,20
52,26,24
51,26,21
50,25,25
49,25,22
48,24,25
47,24,23
46,23,25
45,23,22
44,22,25
43,22,23
42,21,24
41,21,25
40,20,23
39,20,25
38,19,25
37,19,20
36,18,22
35,18,23
34,17,20
33,17,21
32,16,21
31,16,25
30,15,25
29,15,24
28,14,24
27,14,23
26,13,24
25,13,24
24,12,21
23,12,24
22,11,25
21,11,25
20,10,20
19,10,21
18,9,24
17,9,23
16,8,25
15,8,24
14,7,25
13,7,25
12,6,24
11,6,20
10,5,24
9,5,24
8,4,20
7,4,24
6,3,21
5,3,24
4,2,20
3,2,21
2,1,25
100,33,25
99,33,22
98,33,20
97,32,20
96,32,21
95,32,25
94,31,25
93,31,21
92,31,22
91,30,24
90,30,22
89,30,23
88,29,24
87,29,21
86,29,23
85,28,20
84,28,20
83,28,21
82,27,20
81,27,20
80,27,21
79,26,24
78,26,24
77,26,22
76,25,22
75,25,25
74,25,22
73,24,25
72,24,22
71,24,23
70,23,24
69,23,21
68,23,20
67,22,24
66,22,24
65,22,22
64,21,25
63,21,21
62,21,21
61,20,24
60,20,23
59,20,22
58,19,21
57,19,24
56,19,23
55,18,20
54,18,25
53,18,23
52,17,25
51,17,23
50,17,25
49,16,25
48,16,23
47,16,25
46,15,21
45,15,20
44,15,22
43,14,22
42,14,25
41,14,23
40,13,22
39,13,24
38,13,24
37,12,23
36,12,23
35,12,22
34,11,22
33,11,21
32,11,24
31,10,21
30,10,25
29,10,20
28,9,25
27,9,20
26,9,20
25,8,24
24,8,20
23,8,21
22,7,23
21,7,25
20,7,21
19,6,20
18,6,24
17,6,22
16,5,20
15,5,24
14,5,25
13,4,25
12,4,21
11,4,22
10,3,22
9,3,24
8,3,23
7,2,22
6,2,22
5,2,20
4,1,20
3,1,20
100,25,21
99,25,23
98,25,22
97,24,22
96,24,20
95,24,20
94,24,22
93,23,22
92,23,21
91,23,22
90,23,23
89,22,24
88,22,20
87,22,20
86,22,22
85,21,21
84,21,24
83,21,23
82,21,22
81,20,24
80,20,24
79,20,23
78,20,25
77,19,20
76,19,24
75,19,22
74,19,24
73,18,24
72,18,25
71,18,25
70,18,23
69,17,24
68,17,24
67,17,23
66,17,25
65,16,22
64,16,23
63,16,25
62,16,22
61,15,22
60,15,21
59,15,23
58,15,24
57,14,20
56,14,21
55,14,20
54,14,24
53,13,25
52,13,20
51,13,21
50,13,25
49,12,23
48,12,23
47,12,21
46,12,24
45,11,21
44,11,20
43,11,24
42,11,23
41,10,24
40,10,24
39,10,22
38,10,21
37,9,21
36,9,21
35,9,22
34,9,23
33,8,25
32,8,25
31,8,23
30,8,22
29,7,23
28,7,20
27,7,20
26,7,22
25,6,21
24,6,25
23,6,25
22,6,25
21,5,20
20,5,25
19,5,24
18,5,20
17,4,25
16,4,23
15,4,22
14,4,24
13,3,21
12,3,20
11,3,24
9,2,21
8,2,25
